Time (s),x (km),y (km),z (km),vx (km/s),vy (km/s),vz (km/s)
12260.0,5574.635049278468,735.170973510803,4169.358710606231,-4.563776615847372,1.0435404023792696,5.918210236512118
12270.0,5528.67337462941,745.5636611741082,4228.298556630854,-4.62829123985881,1.034936747120521,5.869416518572368
12280.0,5482.069224481292,755.8697084532134,4286.74704097768,-4.692267982677237,1.0262128290584835,5.819940756550047
12290.0,5434.828014975866,766.0879177552778,4344.697371761855,-4.755699409823479,1.0173696621902881,5.769788701104484
12300.0,5386.955236284823,776.2171016970192,4402.142814999769,-4.818578150218702,1.0084082743711553,5.718966181488111
12310.0,5338.456451971492,786.256083242701,4459.076695391618,-4.880896897041082,0.9993297071948276,5.667479104868375
12320.0,5289.337298344,796.2036958409159,4515.492397097137,-4.942648408575009,0.990135015872405,5.615333455640579
12330.0,5239.603483799991,806.0587835601491,4571.38336450443,-5.003825509052704,0.980825269109599,5.562535294731754
12340.0,5189.2607881629465,815.8202012231079,4626.743102991772,-5.06442108948816,0.971401548982417,5.509090758895627
12350.0,5138.315062010229,825.4868145397976,4681.565179682342,-5.124428108503305,0.9618649508112928,5.4550060599987855
12360.0,5086.7722259928805,835.0575002393338,4735.843224191749,-5.1838395931462955,0.952216583033678,5.400287484298104
12370.0,5034.638270147302,844.5311462004712,4789.570929368304,-5.242648639701828,0.9424575670751091,5.344941391709533
12380.0,4981.919253198845,853.9066515808361,4842.742052025939,-5.3008484144934105,0.9325890372187642,5.288974215068316
12390.0,4928.621301857435,863.1829269448465,4895.350413669671,-5.35843215467747,0.922612140473527,5.232392459380744
12400.0,4874.750610105296,872.3588943903065,4947.3899012135535,-5.415393169029197,0.9125280364405708,5.175202701067517
12410.0,4820.31343847685,881.4334876736579,4998.8544676910215,-5.471724838720079,0.902337897178479,5.1174115871988075
12420.0,4765.316113330893,890.4056523338761,5049.738132957529,-5.527420618086988,0.8920429070669197,5.059025834721117
12430.0,4709.765026115111,899.2743458149963,5100.034984385443,-5.582474035392751,0.881644262668887,5.000052229676009
12440.0,4653.666632623038,908.0385375872539,5149.7391775510505,-5.636878693578113,0.8711431725915275,4.94049762641082
12450.0,4597.0274522435475,916.697209266827,5198.84493691366,-5.69062827100502,0.8605408573455682,4.880368946781431
12460.0,4539.8540672029385,925.2493547341653,5247.346556486678,-5.743716522191094,0.8498385492033589,4.819673179347195
12470.0,4482.153121799727,933.6939802508942,5295.238400500603,-5.79613727853527,0.8390374920555519,4.758417378558116
12480.0,4423.931321632233,942.0301045752766,5342.514904057841,-5.847884449034471,0.8281389412664291,4.6966086639343825
12490.0,4365.195432819038,950.2567590762229,5389.170573779291,-5.898952020991246,0.8171441635278979,4.634254219238321
12500.0,4305.952281212408,958.3729878458346,5435.199988442607,-5.949334060712294,0.8060544367121706,4.571361291638914
12510.0,4246.208751604791,966.3778478104663,5480.597799612069,-5.9990247141978115,0.7948710497231458,4.507937190868941
12520.0,4185.971786928452,974.2704088402975,5525.358732259987,-6.048018207821522,0.7835953023465075,4.44398928837484
12530.0,4125.248387448361,982.0497538573965,5569.477585379567,-6.096308849001392,0.7722285050985621,4.379525016459427
12540.0,4064.045609948424,989.7149789422687,5612.949232589176,-6.14389102686089,0.7607719790738284,4.314551867417535
12550.0,4002.3705669111428,997.2651934388731,5655.768622727917,-6.190759212880746,0.7492270557913981,4.249077392664682
12560.0,3940.230425690809,1004.6995200580967,5697.930780442469,-6.236907961541109,0.7375950770400882,4.183109201858886
12570.0,3877.6324076803207,1012.0170949796748,5739.4308067650945,-6.282331910954075,0.725877394722399,4.11665496201571
12580.0,3814.583787471727,1019.2170679525448,5780.263879682783,-6.327025783486445,0.7140753706972991,4.049722396616647
12590.0,3751.0918920105914,1026.298602393621,5820.4252546974285,-6.370984386372706,0.7021903766218538,3.982319284710954
12600.0,3687.1640997442723,1033.2608754849819,5859.910265377002,-6.4142026123181175,0.6902237937917165,3.9144534600110354
12610.0,3622.8078397642284,1040.1030782694552,5898.71432389765,-6.456675440091866,0.6781770129805013,3.8461328099814778
12620.0,3558.0305909424355,1046.8244157445918,5936.8329215766325,-6.498397935110189,0.6660514342780545,3.7773652749218423
12630.0,3492.8398810620247,1053.424106955016,5974.2616293960855,-6.539365250009421,0.6538484669276464,3.70815884704334
12640.0,3427.243285942247,1059.9013850831445,6010.996098517498,-6.579572625208896,0.6415695291621005,3.6385215695394617
12650.0,3361.248428557847,1066.2554975382582,6047.032060786875,-6.619015389463632,0.6292160480388774,3.5684615356507097
12660.0,3294.862978152974,1072.4857060439222,6082.3653292305125,-6.65768896040673,0.6167894592741385,3.497986887723513
12670.0,3228.094649349712,1078.5912867237412,6116.991798541345,-6.695588845081439,0.6042912070758014,3.4271058162634445
12680.0,3160.951201251345,1084.5715301854384,6150.907445555782,-6.732710640462815,0.5917227439756124,3.355826558982856
12690.0,3093.440436540456,1090.4257416032533,6184.1083297210025,-6.769050033968914,0.5790855306602521,3.2841573998430325
12700.0,3025.5702005719672,1096.1532407986435,6216.5905935526425,-6.804602803961468,0.5663810358014968,3.2121066680909856
12710.0,2957.3483804612265,1101.7533623192835,6248.350463082822,-6.839364820235977,0.5536107358854508,3.1396827372909883
12720.0,2888.782904167248,1107.2254555163524,6279.384248298463,-6.8733320445011525,0.5407761150408757,3.066894024350978
12730.0,2819.881739571204,1112.5688846201008,6309.688343569842,-6.906500530847693,0.5278786648666312,2.9937489885439286
12740.0,2750.652893550294,1117.783028813685,6339.259228069342,-6.938866426206286,0.5149198842582505,2.9202561305243067
12750.0,2681.1044110470784,1122.8672823052657,6368.0934661803285,-6.970425970794824,0.5019012792336698,2.84642399133974
12760.0,2611.2443741343977,1127.8210543983585,6396.187707896136,-7.0011754985547645,0.4888243627581321,2.7722611514379945
12770.0,2541.080901075983,1132.6437695604284,6423.538689209087,-7.031111437576587,0.47569065456828524,2.697776229669388
12780.0,2470.6221453828657,1137.3348674897243,6450.143232489523,-7.060230310514302,0.46250168099549577,2.6229778822847525
12790.0,2399.8762948656968,1141.8938031803384,6475.998246854783,-7.0885287349889525,0.4492589747883984,2.5478748019290602
12800.0,2328.8515706830867,1146.3200469854921,6501.100728528105,-7.116003423981079,0.4359640749347016,2.472475716630837
12810.0,2257.556226386075,1150.6130846790327,6525.4477611874,-7.14265118621208,0.4226185264822705,2.396789388787476
12820.0,2185.998546958845,1154.7724175151377,6549.036516303854,-7.168468926514459,0.40922388035950863,2.3208246141465625
12830.0,2114.1868478557863,1158.7975622862227,6571.86425347033,-7.193453646190859,0.3957816931950571,2.244590220783348
12840.0,2042.129474035028,1162.688051379039,6593.928320719521,-7.217602443361914,0.38229352713683457,2.1680950680744706
12850.0,1969.834798988548,1166.4434328289594,6615.22615483182,-7.240912513302812,0.36876094967043827,2.0913480456680573
12860.0,1897.3112237689718,1170.0632703724477,6635.7552816328825,-7.263381148768574,0.35518553343692705,2.014358072450321
12870.0,1824.5671760131763,1173.547143497698,6655.513316280826,-7.285005740307995,0.3415688560500075,1.93713409550877
12880.0,1751.6111089628118,1176.8946474934478,6674.497963543057,-7.3057837765662095,0.32791249991264454,1.859685089092161
12890.0,1678.4515004818522,1180.1053934959511,6692.70701806267,-7.325712844575846,0.31421805203311887,1.7820200535673023
12900.0,1605.096852071295,1183.1790085341102,6710.138364614405,-7.344790630036751,0.30048710384055066,1.7041480143728425
12910.0,1531.5556878811174,1186.115135572762,6726.789978350127,-7.3630149175842305,0.28672125099991275,1.6260780209701562
12920.0,1457.8365537196105,1188.9134335541085,6742.659925033807,-7.380383591045791,0.27292209322655375,1.5478191457914547
12930.0,1383.9480160602016,1191.5735774372931,6757.746361265957,-7.396894633686349,0.2590912341002536,1.469380483185241
12940.0,1309.8986610458833,1194.0952582361135,6772.047534697512,-7.4125461284418765,0.24523028087883225,1.3907711483592338
12950.0,1235.697093491364,1196.4781830548695,6785.56178423314,-7.427336258141453,0.2313408443113336,1.312000276320882
12960.0,1161.3519358830545,1198.7220751223404,6798.28754022393,-7.441263305717718,0.21742453845080675,1.2330770208155923
12970.0,1086.8718273770096,1200.8266738238858,6810.223324649453,-7.454325654405671,0.20348298046670552,1.1540105532627987
12980.0,1012.265422794941,1202.7917347316743,6821.367751289186,-7.466521787929815,0.18951779045692896,1.074810061689988
12990.0,937.5413916184134,1204.6170296330242,6831.719525883253,-7.477850290679621,0.17553059125952417,0.9954847496648158
13000.0,862.7084169813486,1206.3023465568644,6841.277446282482,-7.488309847873289,0.16152300826407315,0.9160438352254288
13010.0,787.7751946609477,1207.8474897983056,6850.0404025877615,-7.497899245709781,0.14749666922278656,0.8364965498091227
13020.0,712.7504320671529,1209.2522799413205,6858.0073772786645,-7.506617371509128,0.1334532040613249,0.7568521371794603
13030.0,637.642847230765,1210.516553879532,6865.17744533135,-7.514463213840976,0.1193942446893709,0.6771198523519691
13040.0,562.4611677903334,1211.6401648351077,6871.549774325703,-7.521435862641359,0.10532142481097312,0.5973089605185524
13050.0,487.2141299779379,1212.6229823757517,6877.123624541721,-7.527534509317698,0.09123637973468465,0.5174287359707296
13060.0,411.9104776039795,1213.4648924298017,6881.898349045117,-7.532758446842002,0.07714074618351786,0.43748846102183647
13070.0,336.55896104109786,1214.1657972994221,6885.873393762157,-7.5371070698322615,0.06303616210473771,0.35749742492831166
13080.0,261.1683362073342,1214.7256156718963,6889.048297543684,-7.54057987462204,0.04892426647951554,0.27746492281018914
13090.0,185.74736354865706,1215.1442826290124,6891.422692218361,-7.543176459318227,0.03480669913246577,0.19740025457092736
13100.0,110.3048070209697,1215.4217496545457,6892.996302635102,-7.544896523846977,0.020685100541087315,0.1173127238166987
13110.0,34.84943307171752,1215.557984639834,6893.768946694696,-7.545739869987817,0.0065611116451320065,0.03721163677526459
13120.0,-40.60999037878663,1215.5529718874484,6893.740535370608,-7.545706401395897,-0.007563626344077772,-0.04289369878543763
13130.0,-116.06469495620044,1215.4067121129526,6892.911072718987,-7.544796123612437,-0.02168747213436017,-0.12299397463887055
13140.0,-191.50591285103536,1215.1192224447611,6891.280655877831,-7.5430091440633,-0.03580878454339146,-0.2030798831815093
13150.0,-266.9248778374664,1214.6905364220847,6888.849475055357,-7.540345672045747,-0.049925922689408,-0.28314211851436577
13160.0,-342.31282629195033,1214.1207039909727,6885.617813507544,-7.536806018703354,-0.06403724618187037,-0.3631713775242984
13170.0,-417.66099821153347,1213.4097914984472,6881.586047504872,-7.532390596989082,-0.07814111531206766,-0.44315836096498157
13180.0,-492.9606382317319,1212.5578816847315,6876.754646288245,-7.527099921616532,-0.09223589124363944,-0.5230937745374101
13190.0,-568.2029966438641,1211.5650736735745,6871.124172014122,-7.520934608999374,-0.10631993620299376,-0.6029683299698121
13200.0,-643.3793304117193,1210.431482960672,6864.695279688848,-7.513895377178954,-0.12039161366959863,-0.6827727460968457
13210.0,-718.4809041874431,1209.1572414001828,6857.468717092186,-7.5059830457401,-0.13444928856612517,-0.7624977499379533
13220.0,-793.4989913265214,1207.7424971893493,6849.445324690089,-7.497198535715137,-0.1484913274484201,-0.8421340777747486
13230.0,-868.424874901746,1206.1874148512143,6840.626035536691,-7.487542869476098,-0.16251609869528572,-0.9216724762273134
13240.0,-943.2498487160434,1204.4921752154437,6831.011875165544,-7.4770171706151825,-0.17652197269804518,-1.0011037033292731
13250.0,-1017.9652183140496,1202.656975397253,6820.603961470107,-7.46562266381345,-0.19050732204987117,-1.0804185296015356
13260.0,-1092.5623019923123,1200.682028774446,6809.403504573513,-7.453360674697765,-0.20447052173485597,-1.1596077391245563
13270.0,-1167.032431808005,1198.5675649625562,6797.411806687614,-7.44023262968603,-0.21840994931680083,-1.2386621306090189
13280.0,-1241.366954586033,1196.3138297881098,6784.6302619613325,-7.426240055820695,-0.2323239851277029,-1.3175725184647962
13290.0,-1315.5572329244187,1193.921085260002,6771.0603563183195,-7.411384580590591,-0.24621101245591764,-1.3963297338680716
13300.0,-1389.5946461978447,1191.3896095389914,6756.703667283971,-7.395667931741098,-0.26006941773397535,-1.4749246258264994
13310.0,-1463.4705915592408,1188.7196969053223,6741.5618638017895,-7.379091937072657,-0.27389759072602915,-1.5533480622422744
13320.0,-1537.1764849392982,1185.9116577244708,6725.636706039125,-7.361658524227678,-0.2876939247149134,-1.6315909309729941
13330.0,-1610.7037620437945,1182.965818411024,6708.930045182329,-7.343369720465843,-0.3014568166887908,-1.7096441408901837
13340.0,-1684.043879348615,1179.8825213906948,6691.4438232213215,-7.324227652427833,-0.31518466752736607,-1.7874986229353678
13350.0,-1757.1883150923513,1176.6621250604767,6673.180072723621,-7.304234545887536,-0.3288758821876446,-1.8651453311735615
13360.0,-1830.1285702663658,1173.305003746942,6654.14091659785,-7.283392725492721,-0.34252886988921555,-1.942575243844057
13370.0,-1902.8561696022055,1169.8115476626924,6634.328567846741,-7.261704614494246,-0.3561420442990361,-2.0197793644083935
13380.0,-1975.3626625562506,1166.1821628609612,6613.745329309682,-7.2391727344638035,-0.3697138237156972,-2.0967487225953754
13390.0,-2047.6396242914814,1162.4172711883784,6592.393593394832,-7.215799705000266,-0.3832426312531482,-2.173474375443028
13400.0,-2119.6786566562555,1158.5173102358983,6570.275841800822,-7.191588243424627,-0.39672689502385966,-2.2499474083373636
13410.0,-2191.4713891599736,1154.482733287901,6547.394645228086,-7.16654116446362,-0.41016504832140277,-2.3261589360478414
13420.0,-2263.009479945528,1150.31400926947,6523.752663079866,-7.140661379922007,-0.42355552980242495,-2.402100103759403
13430.0,-2334.284616758414,1146.0116226918528,6499.352643152897,-7.1139518983436165,-0.43689678366799867,-2.4777620881009508
13440.0,-2405.2885179124005,1141.5760735961103,6474.1974213178455,-7.086415824661126,-0.45018725984432506,-2.553136098170168
13450.0,-2476.0129332516367,1137.0078774949661,6448.289921189495,-7.058056359834681,-0.4634254141627691,-2.6282133765545503
13460.0,-2546.4496451090936,1132.3075653128549,6421.633153786755,-7.028876800479347,-0.4766097085392069,-2.702985200348537
13470.0,-2616.5904692612235,1127.475683324182,6394.230217182525,-6.99888053848146,-0.48973861115266343,-2.7774428821666057
13480.0,-2686.427255878723,1122.5127930898013,6366.084296143424,-6.9680710606039264,-0.5028105966232205,-2.851577771152252
13490.0,-2755.9518904733013,1117.4194713917175,6337.198661759479,-6.936451948080499,-0.5158241461891738,-2.925381253982687
13500.0,-2825.1562948403325,1112.196310166018,6307.57667106377,-6.9040268761990955,-0.5287777478834199,-2.9988447558691793
13510.0,-2894.032427997284,1106.843916434049,6277.221766642096,-6.8707996138741905,-0.5416698967090505,-3.0719597415529
13520.0,-2962.5722871178164,1101.362912231837,6246.137476232712,-6.836774023208352,-0.5544990948141346,-3.144717716296165
13530.0,-3030.7679084614506,1095.7539345377666,6214.327412316173,-6.801954059042949,-0.5672638516656707,-3.2171102268689578
13540.0,-3098.6113682986756,1090.0176351985235,6181.795271695332,-6.766343768498105,-0.5799626842226838,-3.289128862530618
13550.0,-3166.0947838314128,1084.1546808533128,6148.544835065561,-6.729947290501939,-0.5925941171084516,-3.3607652560065837
13560.0,-3233.2103141087146,1078.1657528563544,6114.579966575202,-6.692768855309142,-0.6051566827818377,-3.432011084460067
13570.0,-3299.9501609375957,1072.051547197676,6079.904613376359,-6.654812784008975,-0.6176489217077137,-3.5028580704585695
13580.0,-3366.306569788894,1065.8127744222002,6044.52280516603,-6.616083488022702,-0.6300693825264476,-3.5732979829350944
